reference_scenario,comparison_scenario,period_id,scope,group,metric,unit,n,percent_n,difference_mean,difference_median,difference_minimum,difference_maximum,difference_p10,difference_p90,percent_mean,percent_median,percent_minimum,percent_maximum,percent_p10,percent_p90,reference_p50,comparison_p50,claim_status
SOURCE_STATIC,BASELINE_SPREAD,winter,building,whole_building,facility_electricity_kwh,kWh,5,5,-333.5936890081568,-333.33980700203574,-335.02478795024217,-332.14716350554954,-334.77701221616303,-332.50883329049464,-3.393212097470473,-3.3906296880218365,-3.4077687944433657,-3.378498486282743,-3.405248496110274,-3.3821772797671583,9831.206521302922,9497.866714300886,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
SOURCE_STATIC,BASELINE_SPREAD,winter,building,whole_building,fan_electricity_kwh,kWh,5,5,-83.79067782533693,-83.13432852908045,-85.21330871076862,-82.65942312050265,-85.11445990881839,-82.78771069647755,-1.1065996875369106,-1.0979314687683916,-1.1253879696484443,-1.0916595278988208,-1.1240825015917286,-1.0933537854841886,7571.905068203998,7488.770739674917,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
SOURCE_STATIC,BASELINE_SPREAD,winter,building,whole_building,pump_electricity_kwh,kWh,5,5,-249.8030111828205,-249.81147923947447,-250.35966494159652,-249.43916190915115,-250.18260274049103,-249.45859329950972,-15.657763207749616,-15.658293989285395,-15.692654511510723,-15.634956974376166,-15.681556174445749,-15.636174942516707,1595.393977213703,1345.5824979742285,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
SOURCE_STATIC,BASELINE_SPREAD,winter,building,whole_building,district_cooling_kwh_boundary,kWh,5,5,6.962714717872609,6.94265092417686,6.498976508554506,7.5187669611059675,6.588801403683135,7.3631163563234345,3.863148896716112,3.8520168274557247,3.6058513016999383,4.1716654304252225,3.6556891822644073,4.085305226610558,180.23417952622273,187.1768304503996,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
SOURCE_STATIC,BASELINE_SPREAD,winter,building,whole_building,district_heating_kwh_boundary,kWh,5,5,-49806.28624444276,-49812.58443464845,-49840.37058696366,-49758.18931274093,-49830.727127831866,-49776.52356713519,-12.033080734462706,-12.034602362292057,-12.041315430848664,-12.021460629735211,-12.038985593973798,-12.025890142151567,413911.3444306719,364098.75999602344,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
SOURCE_STATIC,BASELINE_SPREAD,winter,building,whole_building,peak_hvac_electric_kw,kW,5,5,-2.8901208394993203,-2.911084786338847,-3.204410356467065,-2.3982489321596177,-3.1412239312043315,-2.595115690984107,-0.7566027673436728,-0.7620909047171881,-0.8388804060620928,-0.6278359555254166,-0.8223388748018912,-0.6793735703160813,381.9865541393845,379.07546935304566,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
SOURCE_STATIC,BASELINE_SPREAD,winter,building,whole_building,cooling_unmet_occupied_hours,h,5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
SOURCE_STATIC,BASELINE_SPREAD,winter,building,whole_building,heating_unmet_occupied_hours,h,5,0,0.05,0.0,0.0,0.25,0.0,0.15000000000000002,,,,,,,0.0,0.0,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
SOURCE_STATIC,BASELINE_SPREAD,summer,building,whole_building,facility_electricity_kwh,kWh,5,5,-719.9542548038647,-707.9116717180586,-758.8891176783654,-701.7196002193959,-746.017576168786,-702.8480083312722,-0.429701868540633,-0.4225143001368093,-0.4529399884863288,-0.41881858658923476,-0.4452576595039529,-0.41949207253770215,167547.3875058994,166839.47583418133,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
SOURCE_STATIC,BASELINE_SPREAD,summer,building,whole_building,fan_electricity_kwh,kWh,5,5,-564.5376352783842,-553.6219865315543,-600.3951141439265,-548.0680131759527,-588.3988591619021,-548.9202422462204,-3.966340143020914,-3.889648753278018,-4.218268356419463,-3.850627532907603,-4.1339848211372585,-3.856615141458776,14233.212859258487,13679.590872726933,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
