scenario_id,run_kind,period_id,scope,group,metric,n,p10,p50,p90,unit,aggregation
BASELINE_SPREAD,shoulder,shoulder,function,baggage_claim,relative_humidity_maximum_percent,1,40.876601227023286,40.876601227023286,40.876601227023286,%,maximum
BASELINE_SPREAD,shoulder,shoulder,function,baggage_claim,relative_humidity_mean_percent,1,34.65530498592401,34.65530498592401,34.65530498592401,%,area_weighted_mean
BASELINE_SPREAD,shoulder,shoulder,function,baggage_claim,relative_humidity_minimum_percent,1,26.551474255939738,26.551474255939738,26.551474255939738,%,minimum
BASELINE_SPREAD,shoulder,shoulder,function,baggage_claim,sensible_cooling_kwh,1,6993.759884591893,6993.759884591893,6993.759884591893,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,baggage_claim,sensible_heating_kwh,1,3.452240889838678,3.452240889838678,3.452240889838678,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,air_temperature_maximum_c,1,22.615433297743664,22.615433297743664,22.615433297743664,C,maximum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,air_temperature_mean_c,1,20.75052357037713,20.75052357037713,20.75052357037713,C,area_weighted_mean
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,air_temperature_minimum_c,1,19.995964196973024,19.995964196973024,19.995964196973024,C,minimum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,maximum_zone_people_latent_gain_interval_peak_kw,1,4.118082775206018,4.118082775206018,4.118082775206018,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,maximum_zone_people_radiant_gain_interval_peak_kw,1,2.2458521151943938,2.2458521151943938,2.2458521151943938,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,maximum_zone_people_sensible_gain_interval_peak_kw,1,7.486173717314647,7.486173717314647,7.486173717314647,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,maximum_zone_sensible_cooling_interval_peak_kw,1,92.3591626633121,92.3591626633121,92.3591626633121,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,maximum_zone_sensible_heating_interval_peak_kw,1,28.965058929052205,28.965058929052205,28.965058929052205,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,outdoor_air_maximum_m3_s,1,8.122206603218102,8.122206603218102,8.122206603218102,m3/s,maximum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,outdoor_air_mean_m3_s,1,56.012400236284904,56.012400236284904,56.012400236284904,m3/s,sum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,outdoor_air_minimum_m3_s,1,0.9179858606952367,0.9179858606952367,0.9179858606952367,m3/s,minimum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,people_latent_gain_kwh,1,420.86457814219,420.86457814219,420.86457814219,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,people_radiant_gain_kwh,1,279.12041298224966,279.12041298224966,279.12041298224966,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,people_sensible_gain_kwh,1,930.4013766074988,930.4013766074988,930.4013766074988,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,relative_humidity_maximum_percent,1,44.15302027699806,44.15302027699806,44.15302027699806,%,maximum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,relative_humidity_mean_percent,1,35.43501838991785,35.43501838991785,35.43501838991785,%,area_weighted_mean
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,relative_humidity_minimum_percent,1,27.967705839411945,27.967705839411945,27.967705839411945,%,minimum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,sensible_cooling_kwh,1,9343.381895678198,9343.381895678198,9343.381895678198,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,central_hall,sensible_heating_kwh,1,563.2633138833789,563.2633138833789,563.2633138833789,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,air_temperature_maximum_c,1,22.537062423790175,22.537062423790175,22.537062423790175,C,maximum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,air_temperature_mean_c,1,20.619832935509656,20.619832935509656,20.619832935509656,C,area_weighted_mean
BASELINE_SPREAD,shoulder,shoulder,function,concourse,air_temperature_minimum_c,1,19.996033870366222,19.996033870366222,19.996033870366222,C,minimum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,maximum_zone_people_latent_gain_interval_peak_kw,1,2.4329134609767236,2.4329134609767236,2.4329134609767236,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,maximum_zone_people_radiant_gain_interval_peak_kw,1,1.5069054506910795,1.5069054506910795,1.5069054506910795,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,maximum_zone_people_sensible_gain_interval_peak_kw,1,5.023018168970265,5.023018168970265,5.023018168970265,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,maximum_zone_sensible_cooling_interval_peak_kw,1,37.545240827823974,37.545240827823974,37.545240827823974,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,maximum_zone_sensible_heating_interval_peak_kw,1,17.505376129512225,17.505376129512225,17.505376129512225,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,outdoor_air_maximum_m3_s,1,3.3355891978357937,3.3355891978357937,3.3355891978357937,m3/s,maximum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,outdoor_air_mean_m3_s,1,22.98405233351659,22.98405233351659,22.98405233351659,m3/s,sum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,outdoor_air_minimum_m3_s,1,0.46600102599830934,0.46600102599830934,0.46600102599830934,m3/s,minimum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,people_latent_gain_kwh,1,164.42475462632308,164.42475462632308,164.42475462632308,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,people_radiant_gain_kwh,1,111.7669857844643,111.7669857844643,111.7669857844643,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,people_sensible_gain_kwh,1,372.5566192815477,372.5566192815477,372.5566192815477,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,relative_humidity_maximum_percent,1,43.85707714568194,43.85707714568194,43.85707714568194,%,maximum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,relative_humidity_mean_percent,1,36.12647753057705,36.12647753057705,36.12647753057705,%,area_weighted_mean
BASELINE_SPREAD,shoulder,shoulder,function,concourse,relative_humidity_minimum_percent,1,28.494575644896226,28.494575644896226,28.494575644896226,%,minimum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,sensible_cooling_kwh,1,3540.6979983015103,3540.6979983015103,3540.6979983015103,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,concourse,sensible_heating_kwh,1,390.9613590847984,390.9613590847984,390.9613590847984,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,air_temperature_maximum_c,1,22.808656730591757,22.808656730591757,22.808656730591757,C,maximum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,air_temperature_mean_c,1,20.922970584854447,20.922970584854447,20.922970584854447,C,area_weighted_mean
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,air_temperature_minimum_c,1,19.996397634707222,19.996397634707222,19.996397634707222,C,minimum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,maximum_zone_people_latent_gain_interval_peak_kw,1,11.148426328948378,11.148426328948378,11.148426328948378,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,maximum_zone_people_radiant_gain_interval_peak_kw,1,7.085732713729367,7.085732713729367,7.085732713729367,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,maximum_zone_people_sensible_gain_interval_peak_kw,1,23.61910904576456,23.61910904576456,23.61910904576456,kW,maximum
