source_space_name,category,nearest_entrance_space,adjacency_hops,flow_distance_band,flow_phase_steps,flow_phase_minutes,is_flow_entrance,phase_basis,phase_semantics
x-n-breakroom-1,breakroom,z-u-hall-2,11,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-commerce-1,commerce_retail,z-u-hall-2,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-commerce-2,commerce_retail,z-u-hall-2,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-commerce-3,commerce_retail,z-u-hall-2,14,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-commerce-4,commerce_retail,z-u-hall-2,12,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-commerce-5,commerce_retail,z-u-hall-2,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-commerce-6,commerce_retail,z-u-hall-2,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-dining-1,dining,z-u-hall-2,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-dining-2,dining,z-u-hall-2,16,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-dining-3,dining,z-u-hall-2,16,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-dining-4,dining,z-u-hall-2,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-dining-5,dining,z-u-hall-2,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-1,terminal_hall,z-u-hall-2,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-10,terminal_hall,z-u-hall-2,16,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-11,terminal_hall,z-u-hall-2,15,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-12,terminal_hall,z-u-hall-2,14,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-13,terminal_hall,z-u-hall-2,13,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-14,terminal_hall,z-u-hall-2,12,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-15,terminal_hall,z-u-hall-2,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-16,terminal_hall,z-u-hall-2,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-17,terminal_hall,z-u-hall-2,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-18,terminal_hall,z-u-hall-2,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-19,terminal_hall,z-u-hall-2,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
