simulation_scope,scenario_id,period_id,grouping,category,space_name,zone_name,space_count,floor_area_m2,design_people,person_hours,occupant_peak,occupant_peak_time,occupant_density_peak_per_m2,people_sensible_kwh,people_latent_kwh,people_radiant_kwh,heating_kwh,cooling_kwh,heating_peak_kw,heating_peak_time,cooling_peak_kw,cooling_peak_time,oa_heating_kwh,oa_cooling_kwh,oa_mass_flow_peak_kg_s,oa_mass_flow_peak_time,temperature_area_weighted_mean_c,rh_area_weighted_mean_pct,heating_unmet_zone_hours,cooling_unmet_zone_hours,available_variables,unavailable_variables
seasonal,public_volume_0_75,shoulder,whole_building,,,,304,197125.5823640494,17132.88698405694,107585.96862837009,8677.885595370699,04/15  17:45:00,0.04402211773479747,8205.694520996876,5065.534144812081,2461.708356299078,27090.456055355666,10545.396167790735,3857.146479345934,04/15  05:00:00,2201.4808787605252,04/15  14:45:00,23158.046171478516,0.0,217.57597349396593,04/15  06:45:00,21.706186266677257,34.62155717835127,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,public_volume_1_00,shoulder,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.71935126296,9907.943640414362,04/15  17:45:00,0.05026208938277975,9283.9083039177,5745.770448638452,2785.1724911752676,26949.76040245288,10909.73990724461,3849.856750081305,04/15  05:00:00,2263.2688451896365,04/15  14:45:00,23128.49595194165,0.0,217.57597349396593,04/15  06:45:00,21.732926738469864,34.996497606127264,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,public_volume_1_25,shoulder,whole_building,,,,304,197125.5823640494,17132.88698405694,136893.47007415575,11138.001685458024,04/15  17:45:00,0.056502061030762024,10357.01334247939,6431.115496823742,3107.104002743817,26811.94741496192,11290.39031670036,3842.586186180024,04/15  05:00:00,2323.41449667917,04/15  14:45:00,23110.131719088215,0.0,217.57597349396593,04/15  06:45:00,21.75827695075138,35.37518799029632,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,public_volume_1_50,shoulder,whole_building,,,,304,197125.5823640494,17132.88698405694,151547.22079704856,12368.059730501687,04/15  17:45:00,0.0627420326787443,11425.791506611165,7120.787419439134,3427.7374519833347,26676.35032963018,11694.00629783507,3835.369044651923,04/15  05:00:00,2382.121478188303,04/15  14:45:00,23092.61962554061,0.0,217.57597349396593,04/15  06:45:00,21.78182148436886,35.75816543104072,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,baseline_r,summer,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.71935126296,9907.943640414362,07/15  17:45:00,0.05026208938277975,8556.988802831444,6472.689949724649,2567.0966408494223,0.0,93043.38151365748,0.0,07/15  00:15:00,9338.692384987075,07/15  17:00:00,0.0,56608.65741918012,217.5759734939659,07/15  00:15:00,23.873212929099623,74.69735938497278,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,baseline_s,summer,whole_building,,,,304,197125.5823640494,12251.18125367545,115063.23190643478,10860.515332994291,07/15  15:15:00,0.055094398214318066,8031.703643093184,5941.006087534988,2409.5110929280045,0.0,83229.53883141917,0.0,07/15  00:15:00,8579.065370946455,07/15  17:00:00,0.0,46132.535685134004,170.46566229604312,07/15  00:15:00,23.826566503440787,74.7231610909098,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,entrance_2_lead,summer,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.71935126295,9800.595112093599,07/15  17:45:00,0.04971752014405703,8557.478869727254,6472.199882828839,2567.2436609181636,0.0,93025.42681072079,0.0,07/15  00:15:00,9339.770412959713,07/15  17:00:00,0.0,56634.6063900094,217.5759734939659,07/15  00:15:00,23.87387571866784,74.70015361290811,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,entrance_3_lead,summer,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.71935126286,9812.199261453974,07/15  17:45:00,0.049776386929490005,8557.30935525872,6472.369397297363,2567.1928065776074,0.0,93032.52398831402,0.0,07/15  00:15:00,9339.899892101941,07/15  17:00:00,0.0,56614.61762999601,217.5759734939659,07/15  00:15:00,23.873663108964553,74.69822189343373,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,public_core,summer,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.7193512712,9907.943640414498,07/15  17:45:00,0.05026208938278044,8556.655688200046,6473.023064357042,2566.9967064600064,0.0,93183.55814216232,0.0,07/15  00:15:00,9340.346579559427,07/15  17:00:00,0.0,56681.12940758075,217.5759734939659,07/15  00:15:00,23.87276305294605,74.74798443682224,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
seasonal,public_evening,summer,whole_building,,,,304,197125.5823640494,17132.88698405694,122239.71935126293,8902.624075397642,07/15  17:30:00,0.04516219543213002,8551.796976093905,6477.881776462149,2565.5390928281645,0.0,93409.48577723792,0.0,07/15  00:15:00,9383.313507629604,07/15  17:00:00,0.0,58099.047419169474,217.5759734939659,07/15  00:15:00,23.88549343883705,74.44519610689036,0.0,0.0,Zone People Occupant Count|Zone People Sensible Heating Energy|Zone People Latent Gain Energy|Zone People Radiant Heating Energy|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Air Temperature|Zone Air Relative Humidity|Zone Heating Setpoint Not Met Time|Zone Cooling Setpoint Not Met Time,
