analysis_scope,scenario_id,period_id,category,space_name,zone_name,metric,baseline,value,delta,delta_pct
seasonal_category,public_evening,summer,dining,,,cooling_peak_kw,535.4572819258372,696.8289729904791,161.37169106464194,30.13717368531231
seasonal_category,public_morning,summer,dining,,,cooling_peak_kw,535.4572819258372,680.0374381756526,144.58015624981545,27.00124942363569
seasonal_category,public_morning,shoulder,terminal_hall,,,heating_peak_kw,2038.1986598545739,1817.8359370590156,-220.36272279555828,-10.811641040490196
seasonal_category,public_morning,shoulder,commerce_retail,,,heating_peak_kw,413.86318278496753,370.68847967765436,-43.17470310731318,-10.432119817177751
seasonal_category,public_morning,shoulder,dining,,,heating_kwh,1694.1384960574808,1538.652746994268,-155.48574906321278,-9.177865294074355
seasonal_category,public_evening,shoulder,commerce_retail,,,heating_kwh,3058.8701221438364,2787.8209676322904,-271.049154511546,-8.861087384827533
seasonal_category,public_evening,shoulder,dining,,,heating_kwh,1694.1384960574808,1546.121963610454,-148.01653244702675,-8.736979461329982
seasonal_category,public_morning,shoulder,dining,,,heating_peak_kw,227.01502618617826,207.36095271812144,-19.654073468056822,-8.65760905709309
seasonal_category,public_evening,shoulder,terminal_hall,,,cooling_kwh,3782.6762361228375,3510.3814143032864,-272.2948218195511,-7.198470205281102
seasonal_category,public_morning,shoulder,terminal_hall,,,heating_kwh,12470.397383238374,11648.968377195648,-821.4290060427265,-6.58703151791153
seasonal_category,public_morning,shoulder,commerce_retail,,,heating_kwh,3058.8701221438364,2859.3478197261047,-199.52230241773168,-6.52274514610299
seasonal_category,public_evening,shoulder,terminal_hall,,,heating_kwh,12470.397383238374,11725.343431985573,-745.0539512528012,-5.974580667767958
seasonal_category,public_evening,summer,dining,,,cooling_kwh,6336.455567192773,6605.44906200104,268.9934948082673,4.24517290393372
seasonal_category,public_morning,summer,commerce_retail,,,cooling_kwh,11005.997974267226,10608.604014643422,-397.3939596238033,-3.610703550490719
seasonal_category,public_morning,shoulder,dining,,,cooling_kwh,1683.5276988006701,1737.9986217700107,54.47092296934056,3.2355228255611803
seasonal_category,public_morning,winter,dining,,,heating_peak_kw,562.2061131967131,544.7115608799115,-17.49455231680156,-3.111768425520536
seasonal_category,public_morning,winter,commerce_retail,,,heating_peak_kw,1018.5139730585882,989.3088376694623,-29.205135389125985,-2.867426089543301
seasonal_category,public_morning,shoulder,terminal_hall,,,cooling_peak_kw,1078.2928152737286,1108.2906746214023,29.99785934767374,2.7819771144499996
seasonal_category,public_morning,summer,terminal_hall,,,cooling_kwh,54125.938870445585,52741.74311480052,-1384.1957556450652,-2.557361192307887
