scenario_name,kind,run_status,compiled_passenger_hours,reference_passenger_hours,conservation_error,occupant_hours_from_output,occupant_peak,occupant_peak_time,people_sensible_kwh,people_latent_kwh,people_radiant_kwh,synthetic_heating_kwh,synthetic_cooling_kwh,synthetic_heating_peak_kw,synthetic_heating_peak_time,synthetic_cooling_peak_kw,synthetic_cooling_peak_time,outdoor_air_heating_kwh,outdoor_air_cooling_kwh,outdoor_air_mass_flow_peak_kg_s,facility_hvac_demand_peak_kw,zone_temperature_mean_c,zone_relative_humidity_mean_pct,heating_unmet_zone_hours,cooling_unmet_zone_hours,mean_zone_occupancy_cv,available_variables,unavailable_variables,synthetic_total_thermal_kwh,output_minus_compiled_passenger_hours,synthetic_total_thermal_delta_pct,synthetic_heating_delta_pct,synthetic_cooling_delta_pct,synthetic_heating_peak_delta_pct,synthetic_cooling_peak_delta_pct
midday_peak__spatial_distributed,spatiotemporal_redistribution,PASS,115063.23190653793,115063.2319064349,1.0302755981683731e-07,115063.23190653794,24970.319424143887,01/18  13:15:00,9977.502349693685,4033.4827269319862,2993.250704908105,151599.82280102282,4048.3597076742917,9639.378078959546,01/18  05:00:00,682.8361275168687,01/18  14:30:00,122546.32462592014,0.0,170.4656622960433,,20.143896633165422,4.769070685071722,0.0,0.0,1.6306683833530407,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155648.18250869712,1.4551915228366852e-11,0.036358639260267174,0.023636910893417618,0.5150927293564166,-1.218943478097458,1.8561112682153078
evening_peak__spatial_concentrated,spatiotemporal_redistribution,PASS,115063.23190641729,115063.2319064349,-1.760781742632389e-08,115063.23190641729,21505.865963469336,01/18  19:45:00,9963.782134689254,3879.473565513095,2989.1346404067767,151461.1781456297,3955.0366956874213,9653.61560371257,01/18  05:00:00,660.3247117932416,01/18  14:30:00,122654.31706967035,0.0,170.4656622960433,,20.145067133056767,4.114229380631648,0.0,0.0,1.9754789776956685,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155416.21484131712,0.0,-0.11272887588268378,-0.06783907116547074,-1.8019867499846043,-1.0730421838604123,-1.5018324203956492
evening_peak__spatial_distributed,spatiotemporal_redistribution,PASS,115063.2319063358,115063.2319064349,-9.909854270517826e-08,115063.2319063358,21505.865963464887,01/18  19:45:00,9997.611430538544,4013.3736460625128,2999.2834291615627,151420.8210207966,3958.9074654550773,9652.907676688705,01/18  05:00:00,660.4836604602384,01/18  14:30:00,122655.9311168797,0.0,170.4656622960433,,20.14695168567177,4.630838500774983,0.0,0.0,1.6306683833530402,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155379.72848625167,0.0,-0.13617895439910552,-0.09446618936713044,-1.7058809663526853,-1.080296778377292,-1.4781226422231948
double_peak__spatial_concentrated,spatiotemporal_redistribution,PASS,115063.23190642214,115063.2319064349,-1.2762029655277729e-08,115063.23190642212,13685.551067661192,01/18  19:45:00,9967.887362653071,3878.1675215426008,2990.366208795921,151441.52139290643,3953.7093399787373,9692.416823852383,01/18  05:00:00,659.8234516606769,01/18  14:30:00,122682.62805705766,0.0,170.46566229604332,,20.143984558104258,4.268331568835746,0.0,0.0,1.9677572396174385,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155395.23073288516,-1.4551915228366852e-11,-0.12621553382491646,-0.08080834686060186,-1.8349431302910046,-0.6754205231729963,-1.5766035196087094
double_peak__spatial_distributed,spatiotemporal_redistribution,PASS,115063.23190648282,115063.2319064349,4.791945684701204e-08,115063.2319064828,13685.551067656133,01/18  19:45:00,10002.249911428915,4008.735165190041,3000.674973428675,151401.46111820042,3957.153166759806,9691.973245647901,01/18  05:00:00,659.9261347775185,01/18  14:30:00,122681.28112984994,0.0,170.46566229604332,,20.14527881560822,4.8247119436183725,0.0,0.0,1.6306683833530409,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155358.61428496023,-1.4551915228366852e-11,-0.14974922408505908,-0.10723960712008546,-1.7494377421243417,-0.6799661612141544,-1.5612866631142832
volume_0_50,volume_sensitivity,PASS,57531.61595321696,,,57531.61595321696,5430.257666497029,01/18  16:00:00,4988.18965912434,1998.1652061897514,1496.456897737302,155747.74755343137,3982.227715525439,9759.628983422723,01/18  05:00:00,664.5566987947819,01/18  14:30:00,122624.23453089547,0.0,170.46566229604332,,20.142601152148703,3.410980751109934,0.0,0.0,1.7620813033230254,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,159729.9752689568,0.0,2.659760197024406,2.7603849604816473,-1.126871869445925,0.013346747816072318,-0.8705627474185326
volume_0_75,volume_sensitivity,PASS,86297.42392982134,,,86297.42392982134,8145.386499745042,01/18  16:00:00,7482.119423929653,2997.412874040941,2244.635827178896,153654.2389041899,4004.838887705316,9758.979981255132,01/18  05:00:00,667.4712218183627,01/18  14:30:00,122617.46077439077,0.0,170.4656622960433,,20.143403718092525,4.0623382410467075,0.0,0.0,1.7620813033232106,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,157659.07779189522,0.0,1.328777468016984,1.3791145530855577,-0.5654681819051641,0.006695995114550344,-0.4358142485903415
volume_1_00,volume_sensitivity,PASS,115063.23190642931,115063.2319064349,-5.587935447692871e-09,115063.23190642933,10860.515332994059,01/18  16:00:00,9975.904067152256,3996.805663475317,2992.771220145677,151563.9977539478,4027.613762018381,9758.326564192232,01/18  05:00:00,670.3928895523941,01/18  14:30:00,122590.71372997134,0.0,170.4656622960433,,20.14429177342177,4.710837633269796,0.0,0.0,1.7620813033236251,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,155591.6115159662,1.4551915228366852e-11,1.2457709574013918e-11,1.3576052649599345e-11,-2.9536572775103396e-11,7.275341315278396e-11,-2.6132648430375777e-11
volume_1_25,volume_sensitivity,PASS,143829.03988304632,,,143829.03988304632,13575.644166242872,01/18  16:00:00,12469.509224590813,4996.377938694931,3740.8527673772437,149479.26214400318,4050.546977222559,9757.681066450823,01/18  05:00:00,673.3248869385201,01/18  14:30:00,122571.18937591555,0.0,170.4656622960433,,20.144945137368502,5.312882124675595,0.0,0.0,1.7620813033234877,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,153529.80912122573,0.0,-1.325137245274793,-1.3754820675215558,0.5693995640607032,-0.00661484046535469,0.4373550841071225
volume_1_50,volume_sensitivity,PASS,172594.84785965792,,,172594.84785965792,16290.772999491888,01/18  16:00:00,14962.87060857569,5996.193987367511,4488.861182572707,147393.30734442256,4073.5887257538498,9756.986234524937,01/18  05:00:00,676.2688344862054,01/18  14:30:00,122560.21897017452,0.0,170.4656622960433,,20.14648988381289,6.059918003769837,0.0,0.0,1.762081303323325,People Latent Gain Energy|People Radiant Heating Energy|People Sensible Heating Energy|Zone Air Relative Humidity|Zone Cooling Setpoint Not Met Time|Zone Heating Setpoint Not Met Time|Zone Ideal Loads Outdoor Air Mass Flow Rate|Zone Ideal Loads Outdoor Air Total Cooling Energy|Zone Ideal Loads Outdoor Air Total Heating Energy|Zone Ideal Loads Supply Air Total Cooling Energy|Zone Ideal Loads Supply Air Total Cooling Rate|Zone Ideal Loads Supply Air Total Heating Energy|Zone Ideal Loads Supply Air Total Heating Rate|Zone Mean Air Temperature|Zone People Occupant Count,Facility Total HVAC Electricity Demand Rate,151466.89607017642,0.0,-2.650988318446486,-2.7517685408879333,1.1414938584186887,-0.013735240887661537,0.8764927291454125
